카테고리,변수명,설명/설문문항,척도/형식
,llmUsefulness_findingsHelp,How helpful was the GenAI for understanding the research findings?,1-7 (Not at all helpful - Extremely helpful)
,llmUsefulness_practicalHelp,How helpful was the GenAI for understanding practical applications?,1-7 (Not at all helpful - Extremely helpful)
,llmUsefulness_timeSaving,How helpful was the GenAI for saving your time?,1-7 (Not at all helpful - Extremely helpful)
Survey (llmTrust),llmTrust_competence,"Overall, the GenAI was competent and effective as a tool for assisting with reading.",1-7 (Strongly disagree - Strongly agree)
,llmTrust_accuracy,The information provided by the GenAI was accurate.,1-7 (Strongly disagree - Strongly agree)
,llmTrust_benevolence,I believe the GenAI is made with my best interests in mind.,1-7 (Strongly disagree - Strongly agree)
,llmTrust_reliability,I can always rely on the GenAI when understanding articles.,1-7 (Strongly disagree - Strongly agree)
,llmTrust_comfortActing,I have no reservations about acting on the information provided by the GenAI.,1-7 (Strongly disagree - Strongly agree)
,llmTrust_comfortUsing,I have no hesitation in using the information provided by the GenAI.,1-7 (Strongly disagree - Strongly agree)
Survey (attentionCheck),attentionCheck_focus,"In general, I was focused when reading and responding to items on this assessment.",1-5 (Strongly disagree - Strongly agree)
,attentionCheck_stronglyDisagreeCheck,Click 'strongly disagree' if you are still paying attention to this assessment.,1-5 (Strongly disagree - Strongly agree)
Survey (demographics),demographics_age,What is your age?,Integer
,demographics_gender,What is your gender?,male / female / non-binary / other / prefer-not-to-say
,demographics_education,What is your highest level of education?,high-school / associate / bachelor / master / doctorate
,demographics_englishProficiency,What is your English proficiency level?,not-fluent / quite-fluent / very-fluent / native
,demographics_workingSituation,What is your working situation?,full-time / part-time / not-working
,demographics_workHoursPerWeek,How many hours do you work per week on average?,Integer
,demographics_yearsInOrganization,How long have you been working in your current organization? (years),Numeric
,demographics_yearsInJob,How long have you been working in your current job? (years),Numeric
,demographics_jobTitle,What is your job title?,Open text
,demographics_industry,What is your industry?,Open text
,demographics_ethnicity,What is your race/ethnicity? (You may select more than one.),"Comma-separated list (e.g., white, black, asian, hispanic, mixed, other)"
Survey (aiUsage),aiUsage_frequency,"How often do you use AI tools (e.g., ChatGPT, Claude, Gemini) for work?",never / rarely / sometimes / often / very-often
,aiUsage_toolsUsed,What GenAI tools do you use at work?,Open text
,aiUsage_purposes,For what purposes do you use AI tools at work? (Select all that apply.),"Comma-separated list (Research/Information gathering, Writing assistance, Brainstorming/Ideation, Coding assistance, Summarization, Translation, Other)"
Survey (feedback),studyFeedback,Do you have any feedback about this study?,Open text
