participantId,experimentId,strategy1,strategy2,strategy3,strategy4,strategy5,strategy6,strategy7,strategy8,strategy9,strategy10,newStrategyConfidence,implementationLikelihood,thinkingChange,completedAt
5bffcca24f73310001c5597a,kEfUmFTlshuKekkytl9k,Wrote an agenda,Emailed those attending to add anything to the agenda,Booked a meeting room,Sent out invites to attendees,Printed any notes needed for the meeting,Mentally prepared for what I was going to say and how to deliver it,Unsure meeting is necessary,Only invite attendees who need to be there,Unsure everyone is heard,Stop an cycles of complaining by encouraging solution focused conversation,7,7,5,2025-12-23T11:19:34.817Z
5c4277ac1242910001bdbf1a,E6q3NXOWu8Pi6ThLaA8U,Clear agenda,Clear goals,Clear timetable that is followed,,,,,,,,4,6,4,2025-12-19T23:05:38.407Z
5c509487172b6c0001779b34,7PzgmGQT1E6rL3cSujpR,Collaboration,Note taking,Time keeping,,,,,,,,6,5,7,2025-12-22T12:41:38.870Z
5c86d5a58085800016135bd2,S7zaq6LMWGcLOfiTdxYa,Clear agenda,Ensure only relevant people attend,Send a follow up email with actions,,,,,,,,6,5,5,2025-12-22T14:26:27.002Z
5ca62a239ffcce0001036b6b,fgtNvJcdmFDcy2mXVxJS,Used a hybrid model whereby invitees could dial in online or attend a room to attend the meeting,Turned on auto-captions to help those with hearing difficulties,Ensured minutes were sent to attendees,Send around a solid agenda prior to the meeting,Ensure there is a designated timekeeper to ensure each agenda item only runs for the set amount of time,Scrutinise the list of attendees to ensure only the most relevant people are asked to join the meeting ,Ensure action points at the end of the meeting are communicated effectively,,,,7,7,6,2025-12-22T12:12:48.156Z
5cd4ad19f014930017d35d6a,h1ujA85ksEDNldOgpihQ,Pre-Meeting Prep (Agenda),Start/end on time. Use action questions. Assign timekeeper/notetaker.,Log decisions/owners/deadlines in shared tool. Email summary.,,,,,,,,7,7,7,2025-12-22T11:00:01.026Z
5cdd11ab4ea13d0001a5c036,Zf4gbNKA4bWgvFtVcino,Teamwork,Collaboration ,Listening,Consideration of using technology,,,,,,,4,4,5,2025-12-22T16:01:16.617Z
5cde02d000d670000184ea3b,xkB7yNDPV8izBOyVepVK,Creating an agenda,Sharing an agenda,Keeping reportbacks' detail to only that relevant to all parties,Designating a notetaker,Referring to past meeting notes,Keeping it brief,Actively facilitating,,,,6,7,5,2025-12-20T22:53:31.668Z
5d09edb73d40080001655677,YEkRsyRuKQYfcAMN1YEZ,Visual facilitation,Engagement with all participants,Picked a time of day free from distraction,Set a clear agenda with defined roles,Did some of the work ahead of the meeting,,,,,,5,5,3,2025-12-22T15:31:20.196Z
5d67ed161976cc0019cc8a10,Ih7tdA6qZrd7T4M6YP6k,publicise timely agenda and calendar invites. online minutes and actions,in persn and Teams,Strict time constraints,consider who really needs to attend,,,,,,,6,5,6,2025-12-22T08:47:13.316Z
5d94ce7b72b4550016906484,dDdGEGVKBtdWookJEkg8,created agenda that everyone could contribute to and read ahead to ensure the meeting ran efficiently,ensure meeting runs on time,ensure follow up takes place via minutes & actions,ensure positive discussion that is relevant to all,,,,,,,6,6,5,2025-12-22T09:33:38.041Z
5d9b7c7efaa2860364b16476,NpggUHSCfGD0L17YoCDF,I provide all necessary information to all the member of the meeting. It helps all of us to get  an idea about the meeting and the purpose of the meeting. ,,,,,,,,,,7,4,6,2025-12-19T20:48:20.695Z
5d9cb58ee8783f0019c8bd06,FBf7zX7qdgQVYScqFw5A,I would set a clear agenda ,i would critically assess whether a meeting is necessary,"I would be more selective about who is invited, which would  ensuring only relevant participants attend",i would share a clear agenda in advance with specific achievable goals,"I would encourage positive interaction, participation and constructive dialogue","I would encourage clearly document decisions, action items and responsibilities after the meeting",I would collect feedbacks afterward to improve future meetings,,,,7,7,7,2025-12-19T23:25:02.044Z
5da78f61a60c0d0017d6ed89,foGpA2pxSBu3daJJxMfx,Listed everything relavant that I wanted to discuss to make thing easy to follow,Created a power point presentation,,,,,,,,,4,4,4,2025-12-22T22:04:58.645Z
5dcf14459595a105c52cd304,eEgicFZryM2qwheeB8eS,Planning,Organising,Liaising with parents,Using technology,Sending documents in advance,Send out an agenda and timings in advance ,"Reflect and send out information after the meeting, seeking feedback",Stress punctuality,,,7,5,6,2025-12-22T10:10:39.925Z
5dd9a7ff98981d926df9ea18,ojTh9UyW1Th8mezo0FCS,Active Engagement,Consider preparing for meetings / providing agendas,"Before, During, After",Clarify Action Plans,,,,,,,6,7,6,2025-12-22T06:34:15.018Z
5e1f06e67a9ded238481246e,kzOTLQe4Yc3fqXTmNWWO,Set a clear agenda,Set 3 achievable objectives,Started and ended on time,Sent follow up notes and actions,Celebrate small wins and boost positivity,,,,,,4,4,3,2025-12-23T11:58:45.284Z
5e299d8c2e9dc4000be0fde0,XL4wVgjnJj7j6UKbTmba,Took Notes,Set an agenda,Ensure only those neccesary to attend were invited,,,,,,,,6,7,5,2025-12-22T12:58:59.634Z
5e3c29ac4c3831000c5bdb68,mg8QWlX06oYDKZNeRoeN,Focus,Agenda,Time,,,,,,,,7,7,6,2025-12-23T11:37:43.013Z
5e6155e6f169c0046b6d6518,ew0Oi3X4BB6UNYa4GUKE,Made a plan,Rehearsed my talking points,"Distributed materials (e.g., list of discussion topics) before the meeting ",Considered whether the meeting was need,Considered who really needed to attend,Focused on reducing complaining (keep things positive) ,Distribute a meeting summary ,,,,6,7,5,2025-12-21T15:14:45.600Z
5e64da5ac34e832466061bf8,GdJwiwyTaSBT2HItDAPp,Active Listening,Come with a plan,Leave with a plan,,,,,,,,6,6,6,2025-12-22T12:47:26.818Z
5e6e6497d33339419afd90f9,oeqjHjqWfisY0QbOLLJr,more interaction using technology,stick to agenda more,stop negativity,clear agenda,,,,,,,7,7,7,2025-12-22T10:47:55.473Z
5e7ca836a60b642ec70880b1,O1vwITchcMOre9N357JN,Discussing objectives beforehand,Sending out the meeting plan beforehands,Take minutes,Send out action items ,Get meeting feedback,Discourage complaining,Stick to objectives,Online invite people who are necessary,,,6,7,6,2025-12-22T20:18:41.283Z
5e7dd5b90923ad0009f80bbc,e8GmJ0XvFC9gwL9pJiQ0,Group brain storm,Provide an agenda,Carefully select relevant attendees,,,,,,,,7,7,7,2025-12-22T12:06:44.105Z
5e8307bae3b23d01d2259e4c,QgJYPhvOEOMISCOj5dIJ,i dont lead meetings not in my role,,,,,,,,,,5,2,5,2025-12-22T07:15:36.914Z
5e83425144753905a3a17ad8,S0RsN8X0DUDMEDyIhgQU,Open discussion to bring up any missing points,Inventory count for year end requirements,Availability of staff for the count,Last production dates,Last delivery to customer dates,Determine the correct personnel for the meeting only,,,,,6,6,6,2025-12-22T10:55:51.011Z
5e999a581e025f1cfd5e7090,ZcGlYrnGNXwVDg4CGitT,pre planning,ai follow up notes from recording meeting,only having meetings if necessary ,sending out an agenda,,,,,,,6,6,5,2025-12-22T13:08:03.842Z
5ea9cc9195f36c126a27d0a7,X5JJzlgugqu87nJAyj34,Encourage participation from colleagues,Used powerpoint deck that was shared,Sent agenda beforehand,Only invited people who needed to be there,,,,,,,6,6,5,2025-12-22T09:14:32.132Z
5eb7c006b839846ea7a24178,ASH0R0O6bfOtJuGTcX0n,Solicited input from team members,Composed a draft agenda,Got feedback on my draft agenda,Incorporated feedback,Finalized agenda,,,,,,4,4,4,2025-12-20T12:52:11.373Z
5f0e1fecdc728111e1f7d093,Dd13CgWILpfxSs7fhRUU,Gathering the right relevant employees that will listen and input relevant information and are responsible for delegating tasks,Wrote down the overall aim of the tasks at hand before the meeting and sharing them before as part of the agenda. During the meeting I would expand on these.,Wrote down the issues or problems we might encounter and sharing them before the meeting as part of the agenda. Then expanding on them during the meeting.,Let people know that if they have issues that they cannot rectify themselves to contact me,Ask for questions,Distribute meeting notes to those attending and not attending,Ask for meeting feedback and let employees know that any and all feedback would be greatly appreciated,,,,6,7,7,2025-12-22T02:44:21.108Z
5f42a27e49962e4a7045a7b0,P2BIsTYbNf5vbwlbjL57,Technology ,Questions,Facts,Scenario's ,Importance ,,,,,,6,6,6,2025-12-22T17:01:53.944Z
5f4ae7cb6b68b56c2acb12c8,156ITSNqPsuY5IfL2Zbo,Set a time limit,Organize agenda,define purpose of the meeting,keep on track with purpose and bookmark side discussions for later,"ensure meetings are regular, as needed, to avoid marathons","provide a meeting summary post-meeting including decisions, action steps, and assignments",provide meeting agenda in advance to attendees,,,,6,7,3,2025-12-19T19:24:51.356Z
5f6e76757befe43b22307387,u70agQP99KnkPaoXG1qq,Set an agenda,Kept everyone to the agenda,Provided minutes,Assigned tasks from meeting,Encouraged participation,Limited attendees to relevant staff,,,,,6,6,5,2025-12-22T23:15:29.410Z
5f95e7c5e49c564a01f040aa,y32v6LefUczxAxklLE6I,Ensure that the meeting involves active things,repeating the statements back to ensure they were heard correctly,Creating a clear agenda,Redirecting when things go awry,Make sure we NEED a meeting,Actively facilitate,Follow up with at thorough overview,,,,7,7,5,2025-12-20T02:23:41.024Z
5ff454f2f0b5ed607169fba6,ZXLJBbZzYuR2Oi9BJy1u,Prepared the presentation days ahead,Structure the meeting,Stick to time,Start and end the meeting on time,Ensure the meeting in necessary,Send out the agenda to the attendee ahead of time,,,,,7,7,7,2025-12-22T05:34:22.515Z
601ac0440ae554365a73246b,kId0faSYfh5slBl0AKmj,Set a clear agenda in advance and shared it with attendees,Defined the purpose and desired outcomes at the start of the meeting,Encouraged input from quieter participants to balance discussion,Summarised key decisions and actions before moving on,Clearly assigned actions with owners and deadlines at the end,Redirected off-topic conversations back to the agenda,Invited only relevant stakeholders to keep the group focused,,,,5,5,5,2025-12-22T11:43:40.473Z
60673bc6496cefa66a61e737,RFahYgKlNHbvtaFtHVTs,Plan ahead key points,If demonstration is needed - do a dummy run through before meeting,Ensure you've researched any methods or strategies needed to pass on to colleagues,,,,,,,,2,3,1,2025-12-22T11:24:23.076Z
60c75879fdf6194f658272fb,qweek1z4Gu2iADeA5hv4,prepared with materials,facilitate discussion,summarize key points,have an agenda of topics,,,,,,,5,5,5,2025-12-21T22:53:39.836Z
60d4558116de644bde568dde,vTCrmhwefckTiCdKvtio,Being up front and honest ,Made sure everyone knew beforehand and asked them to bring notes about what they wanted to discuss,Kept it light so everyone felt comfortable to speak up ,Be flexible on the length of the meeting. ,,,,,,,6,6,5,2025-12-22T12:59:21.220Z
60d52a5dca16f851ab8b9b82,67hH5FJTOIvt2xZHtxYM,Team Involvement,"There's no ""I"" in ""team""",Incentives,,,,,,,,4,4,3,2025-12-21T09:17:18.414Z
60e308bd29d04d6d790aa1ad,kDgqQJ4MDV4y1ZTUKWiC,Set a clear agenda,Prepared relevant content,Encouraged group feedback ,Ensure meeting starts on time,Ensure everyone gets something out of it,,,,,,6,6,5,2025-12-22T03:31:27.088Z
6102053795bd9b55ab979a48,WnEvPvpbBJWCZgHpuuuy,agenda notes,keynotes for different speakers,making information concise,creating an action items section,,,,,,,5,5,3,2025-12-20T09:31:34.432Z
612198f856c9f4f2f02f7046,y2zrjoUagyQO9jEe8n51,Fun interactive brain storming,,,,,,,,,,4,4,2,2025-12-22T20:09:10.318Z
6127b32b912465823dca1e4b,vz0aPGGhYKUPyQpfooeV,Group meeting with an emphasis on praising annual performance and boosting moral. I was determined to highlight some of the times in the year our team had went beyond the norm. ,We already do most of what is in the paper,,,,,,,,,1,1,2,2025-12-22T16:21:28.922Z
613c927a3da2129cd285ef58,MQVax2V9muMfzH4Tg8SC,I set a clear agenda and shared it in advance ,Encouraged active participation,Summarized key decisions and action items,,,,,,,,6,6,5,2025-12-22T18:28:57.634Z
614a0facaa13498cff401c41,Oj47qnEa4iAXshwTn3RM,Used an agenda,Prepared slides for the talking points,Planned time for questions,,,,,,,,4,4,3,2025-12-23T12:03:26.643Z
614f7550e1d2a29137820173,dry6JzxvzpEqrjbnnGdK,Questions,Presentations,,,,,,,,,1,1,2,2025-12-21T08:59:14.771Z
61680035775d6be6c3034464,ncf6ilL8CQKsJLeZMTFz,Hands up for questions (online),Checking in with each person for AOB,Have a set agenda,Make sure the right people are invited,Send out action points after,Ask for feedback following the meeting,,,,,7,7,7,2025-12-22T08:34:11.430Z
61684f48083b66cd4a37dfbb,zk0nOaly2dhW3rDDpsw5,Clear agenda sent out prior to the meeting,Prepared slides to ensure engagement and efficiency ,Ensure correct employees are attending,Remove information that can be sent in an email,,,,,,,7,7,6,2025-12-22T16:53:15.213Z
62a2042e8813ab2f55d8ecf9,PfC33ZKbVQyZDbOQepeh,pre-planned notes,clear communication,planned agenda,follow up evaluation,,,,,,,5,6,5,2025-12-23T09:40:47.822Z
62b354926116305375200028,6UYVTtPZqDH6AP8RNSuY,Staying silent,,,,,,,,,,2,2,2,2025-12-23T05:39:56.242Z
62b437a2dbff0b6b3d0121e4,jpEcNpSm8ZAdmS989pQN,Having a clear objective and agenda,Only inviting necessary staff,Sharing agendas prior to meeting,sending out meeting report and actions,,,,,,,6,6,5,2025-12-22T09:02:43.675Z
62da6a553aaca6fffb50307f,mHnkYhaXr6bBMqvmRGcQ,set a clear purpose and agenda,"managed time, make sure meetings are not too long",prepare before meeting,clear communication,follow up meetings/feedback,videoconferences ,avoid pointless meetings,,,,6,6,6,2025-12-22T14:41:55.730Z
62e2f4973427f0ab91180361,hMzsckNLTyWW1fQrjXRG,Visual - powerpoint,Well planned - presentation,Making sure it's necessary,Only inviting those to who it will add value,,,,,,,6,7,5,2025-12-22T08:13:21.446Z
6318e2c61780455450fe4199,BNv5foLXnGjmF5uYKaGW,I displayed a spreadsheet on the screen.,Distribute meeting agenda in advance,Choose who should attend,Keep it on time,Allow humour but not divergences,,,,,,6,6,6,2025-12-22T22:43:41.374Z
6328ea8c44e1e6f7180facd3,9BZpW6VaVHF93eG70y7E,in-group sharing of information,Creating a livelier atmosphere before the main topic of discussion,Helping my co-workers.,invoking humour to normalize the atmosphere,using surveys to gather data afterwards,,,,,,4,5,4,2025-12-22T02:40:11.936Z
634d7fd5face88069f7ff6ff,HHz8obSjzbypCTIQVl5J,each department takes a turn,we discuss current plan for the week,any pre medicated issues,recap,,,,,,,4,4,3,2025-12-22T13:48:36.104Z
6384fc5695a4edef691103c0,NhuzFczfMTaBt66x6OnX,Recap of actions since previous meeting,Early outline of meeting content,Open discussions and opportunity to include items not on the agenda,Summary and action point clarification,Have sent an agenda and associated papers well in advance of the meeting,Follow up to the meeting with a reminder of action points and summary of decisions made,,,,,5,6,4,2025-12-22T07:26:26.536Z
63cedf5f87024f8b1ad1023f,b7OQw9HRrSwTFOsqKfpc,Clear purpose,Agenda ,Only invite essential people ,,,,,,,,4,2,4,2025-12-22T14:47:03.519Z
63cfefc43323e05d2a6f554b,Q6xKfZPf86n53gCl66NO,concise information ,speaking clearly ,minutes and actions to follow meetings ,keep length and frequency to a minimum ,,,,,,,5,4,5,2025-12-22T21:21:46.822Z
63d023f75eaafe675b6fa5fd,mYlzaViboWqSYi3CP0Xw,Confirm the meeting is truly necessary,Invite only essential participants,"Send a structured, purpose driven agenda in advance",Set clear norms at the start,Actively facilitate interaction and prevent negativity spirals,Document decisions and action items during the meeting,Send minutes immediately afterwards,Gather feedback to improve future meetings,,,7,7,7,2025-12-20T06:13:02.680Z
63d1b1192b2b6d76dae50c06,axya34s1FGIXez3ctZNI,Having an agenda in advance,Knowing about the meeting in advance,,,,,,,,,5,5,5,2025-12-22T16:51:41.289Z
63d2d8388a367c258ca82590,vpzQL2hC3ErSmTUaK24q,Appropriate time for attendees,Made Teams an option for remote workers,Agenda,Specified times for each item and kept  to them,Try to head off negativity before it gets a chance to take a hold,,,,,,6,6,5,2025-12-22T20:28:22.984Z
63d3fd5916541b5031bd4a3f,OMkeCIiMn7SXdm6J1crH,Ensure we started on time and that there was an agenda,Allowing people to talk and facilitating,Ensure only those required are in attendance,Ask attendees to minimise use of tech during the meeting if there for purpose of multitasking,,,,,,,6,6,3,2025-12-22T14:29:44.836Z
63efe25e481b721d4bcd9639,1nvkf83KHLzjAgNl48r4,Ensures there was an agenda,Prepared the content,Ensures other contributors were briefed,,,,,,,,5,5,3,2025-12-23T12:56:10.190Z
63fc7ac4c0ba10b71a25a63d,J4GbA94CHaaWdcQ0NXaS,Produced an itinerary,Compiled relevant documentation prior to meeting and sent to all individuals,,,,,,,,,4,3,2,2025-12-22T07:53:33.025Z
64012ee6e3f2e59aaa36f718,pASsyWL7BeU8d2LHylSm,set goals,encourage participation,,,,,,,,,5,5,6,2025-12-19T20:06:41.648Z
640349ae900739316aca0f9f,EN5BvdroxpPwpTiEm7rh,Ensured beforehand that the entire team was able to attend.,Circulated agenda in advance,Ensured the most urgent items were at the top of the agenda,"Requested items for the ""AOB"" item at the bottom of the agenda",Arranged a minute-taker in advance,Ensured some light-heartedness during the meeting,Deflecting negativity and complaining in a constructive and respectful way,,,,6,7,6,2025-12-22T13:00:24.728Z
644695d12dd99a1712dd84c0,RKN3czQkvNUU5ttarWYh,Having an agenda,Allowing contributions from others,Having adequate breaks,Making sure attendees understood why we were meeting,,,,,,,4,6,2,2025-12-19T22:27:30.248Z
64481bca476d6bfbae2066e2,f1OPhn14k8F7rGD1L8mJ,assigned roles,	Carefully select only relevant attendees (to boost engagement and job satisfaction).,	Summarize decisions and send minutes promptly (to clarify responsibilities and ensure follow-through),	Use humor constructively during the meeting (to stimulate positive team behaviors) ,Share agenda and objectives in advance (to set clear expectations),,,,,,7,7,7,2025-12-22T07:29:56.478Z
651d623cbdcb675cb801bc79,x5sYIrMm9w1ys3Jchr1i,Created an agenda,Encouraged participation,Recorded the meeting and send the recording to attendees,,,,,,,,7,7,2,2025-12-20T23:41:11.849Z
65216075939674db7a47e7d0,Yfw8NCvirVvm32ZHzZiJ,Give purpose of meeting / overview,Provide status of relevant projects or task on hand,Facilitate discussion,,,,,,,,4,4,5,2025-12-21T03:14:05.294Z
653927811b00d4a0036cb7ab,3EZ8IRrVZzpDroqLAJlG,structured scheduling ,allocating a set time to all participants ,effective note-taking and data updating ,agreement on tangible and actionable individual tasks and actions ,conduct occasional surveys on meeting feedback,,,,,,4,3,2,2025-12-22T11:35:49.922Z
653ab786a5162b73aac38bc9,78C8AQfG2rCDiUEmjyok,I had the relevant documents open on my laptop before the meeting so we could get straight to business.,I organised to have the meeting in a pleasant room so that people would feel more relaxed.,I wrote minutes as we went and displayed them on a screen so that people could agree on specific wording during the meeting.,Send out an agenda before the meeting.,Start the meeting on time.,Stick to the agenda and bring people back to it if they go off-task.,,,,,6,5,6,2025-12-22T11:50:23.930Z
654142b51c0cbebefa6f3ea0,ZIbsiXSnfrbUrBEYgzsh,Shared agenda in advance ,Started and ended on time ,Balanced participation ,Assigned clear action items,Follow up after ,,,,,,6,6,2,2025-12-19T21:38:19.608Z
654a56ff9b8baf6c84eb9b69,17dMdN4BxHTnNsbKRHsN,Automatic note taking,AI collaboration,Ensuring everyone got the opportunity to speak,Staying on task and focused on the meeting agenda,,,,,,,7,7,6,2025-12-22T23:38:49.987Z
65706b89d4c6c32963d258e8,ycSqXvdB3Wbh1iG4ulRd,Promised my staff the meeting would take 45 mins max,Pin down points for discussion,send an email of the meeting topics before hand.,select a few important individuals for discussion.,,,,,,,7,7,7,2025-12-19T21:52:11.894Z
6598124cb009a156ae665edf,diGtl8DflcDIUP6aKG6k,I am a group facilitator and I recently had to arrange xmas holiday cover for other workers.,I put out a friendly email explaining the situation and asked collegues if they were free to help out. then I spoke to them individually.,I would always try to conduct any meetings either with collegues or clients on a face to face basis as I find there is a much greater degree of understanding and effective communication.,,,,,,,,5,6,4,2025-12-22T08:49:10.153Z
659d4aadab2eb6b7a8cffb07,iQjS3eOikULjqU5DaPxQ,I made alternatives good enough to be summarized and chosen and shortened our meet time.,Inform needed participants topics to be discussed before meeting.,invite only needed participants,Request needed opinions and keep everything summarized.,request a survey feedback on ideas discussed at the meeting.,,,,,,7,7,7,2025-12-19T22:10:06.125Z
659d6ca29e5500da27f1cb5b,AOTDLxmpLc9JVxY8GHjR,Understanding what each peson would like to hear to how i word it ,,,,,,,,,,6,4,6,2025-12-22T20:30:49.895Z
65b65fdfb1aba2f7325fa073,cUjl1d7RaeYwiwbgh0le,Having a specific set agenda for items to be discussed,Having someone to take minutes and record actions to be done,Review previous actions prior to the meeting,Have set structure and time limit,Ensure the agenda is sent out well in advance of the meeting,,,,,,5,7,2,2025-12-23T12:12:42.326Z
65c637e0e76b878b89b9bae2,ijiQ82QNgphztukQKALV,Outlined the major points of the meeting beforehand,Allowed lots of discussion from everyone involved,Kept notes on the board as we discussed them,Focus on the more important subjects first,Involve only those who are necessary to the meeting content,Encourage humour and laughter and positivity,Keep the meeting on track,,,,7,7,7,2025-12-22T10:12:43.612Z
65de3af8fcbc6ef9331bd863,LQH1zlNOtNql3tc1rKJr,Encouraged participation,Key points summary ,Stay focused on topic(s),minimize distractions,Use humor,,,,,,6,6,5,2025-12-21T04:55:19.936Z
65ef950203e4e8448c55e54c,FzanR5obi65ML0pmiN1X,Set a clear purpose for the meeting.,I like to make anything I am trying to discuss more visual.,Make sure everyone knows their role.,make sur only relevant people attend the meeting,use more humor in my meetings,make meetings shorter ,only make a meeting if it is necessary consider sending an email ,follow up after meeting to make sure that actionable items are taken care of,,,7,7,7,2025-12-20T15:00:34.805Z
65f684e029d7c63f3338aed7,7gZ9bx5MiLPRidM0rULt,Have a set start-stop time,email agenda ahead of time,create minutes for post-meeting,,,,,,,,6,6,5,2025-12-21T11:41:29.407Z
660477cf6f52f75e86f4f349,klwqVPzHrDRCRyC91yjv,Be open-minded/flexible,Set a clear agenda,Encourage candid response,Stay on purpose,Supply minutes post-meeting,Routinely collect meeting feedback,,,,,3,5,2,2025-12-21T21:11:07.191Z
6604b10d7328536e5d9bb9db,UDYH0mJOXZJQVwFrkPiY,Took notes,listened and then repeated what what said to make sure I understood,be selective about who needs to attend the meeting,,,,,,,,7,7,7,2025-12-20T16:53:59.913Z
660c022ef20bb20404c76d8f,VRcVN1SABxvfK1dV19bY,Agenda setting,Scene setting,Workshop Walkthrough,Alignment and questions back to client / internally,Proof points and impact,Identification of pain points through current process,Ensure call starts on time and expectations are clearly set at the start,Ensure side conversations are minimalised,Add meeting minutes to clarify next steps,Ensure correct and appropriate technology is setup,6,6,5,2025-12-23T11:52:00.066Z
660d7d551f8fb51d01193e78,gbivCtr1F8vLRLJLOjF5,Setting clear objectives,Structured agenda,Follow up meeting/emails,,,,,,,,7,3,2,2025-12-22T16:30:37.773Z
660eb2ab66db1c0d3fa51a2b,mW4GjvZZDTi9KgI1g3sN,Specific focus points,Let people engage with each other,Don't have too many meetings,,,,,,,,6,5,6,2025-12-22T10:02:39.765Z
661149a91b7fad3a3d2caf0c,ppZ8MEFyTyLLnX2q049M,Set a clear agenda and objectives before the meeting,Started the meeting on time and outlined expectations,Kept discussion focused and redirected off topic conversations,Summarised key points and decisions throughout the meeting,Ended the meeting with a recap of next steps and deadlines,stimulate positive behaviors that predict team performance,,,,,7,7,5,2025-12-22T08:42:31.267Z
661dd11d5523e507da514925,9pEKKp4XnWSy6h68Opp9,keep it simple,visuals,short to the point,focus on main points,gather feedback beforehand to help shape presentation,,,,,,7,6,5,2025-12-20T02:54:51.708Z
662266d75f37a6781e7d67d7,0WHsISEsaS1STcn6cMpO,Sending out a pre-agenda so people could prepare,Inviting a junior member of the team to observe and take minutes,Issuing out clear actions and responsibilities by name post meeting,kept clock-watching and moving meeting back to agenda points,Clear feedback after a meeting to understand satisfaction,encourage active participation,close down complaints early on,"Think ahead of the meeting, is this really necessary? ",keep the meeting as short as it needs to be. Do not make them too long. ,,7,6,5,2025-12-22T20:40:47.430Z
6629396278644f7ca5e5d017,QAuxkR8S6cpBgH0vKBiq,Have notes available from the previous meeting,Prepare a specific agenda for the meeting,Make sure the key stakeholders are available so we're not wasting everyone's time,,,,,,,,7,7,2,2025-12-20T18:22:25.849Z
66293ded22cbde752a3bbee4,3Dn9UAQAJp3WLwhyXna9,Include introductions ,Think about a funny story,Provide an agenda pre-meeting,,,,,,,,4,5,2,2025-12-21T00:18:58.032Z
