participantId,condition,query_count
666182516b3e1f1fdb4f345a,with_llm,3
666640831e2f8d963f8c528f,with_llm,4
6671f8979384370db5e1c713,with_llm,1
6673705315e1f2006697c6da,with_llm,7
6682c269b9b9b8b8bcdffa07,with_llm,5
66845d64ef9123bc488e1242,with_llm_extended,6
66857a5b6efcd1cf07b88707,with_llm_extended,5
66881fbe723bc57d75a2c268,with_llm,1
668d16ae27f1ad4461650742,with_llm_extended,1
668edb3b608a3d4537e2da08,with_llm,6
66a2741b8cc4486c4d2032d9,with_llm,7
66b8e8f12fa9160e4ca9f25b,with_llm,1
66ba2139a67c5c99778a6766,with_llm,4
66c344f0ca88e523ebbc35a2,with_llm,1
66cdf006dc37b68c08c84ac5,with_llm,5
66d470efae87ffb63c6ee75b,with_llm_extended,1
66d753769fda18f114e0e534,with_llm_extended,1
66e04b2f9cd94406f2da8f42,with_llm,1
66e3151584ce7d01596d194a,with_llm,3
66e4fc9c0c958246837a6941,with_llm,2
66e84a9aeb1250e4e671ae2c,with_llm,3
66f0457846752930b55150a3,with_llm,5
6704025bdd15dcd73f54125a,with_llm,1
6708e405424678d90434ac89,with_llm,3
670da3fd0b8a2f7a542a2b24,with_llm,9
670fb18f6f6ca0d7257a9302,with_llm_extended,2
6712c4178dc857f9a720852b,with_llm_extended,1
6713a6a34b872f10e42e1502,with_llm_extended,6
6718fa3043e1839e51351385,with_llm,4
671cdd2146a2a9d3d0535132,with_llm,7
672539aa74aa5a08ab440626,with_llm_extended,6
6726175b381af01a5aaef18a,with_llm_extended,3
672a0f49692a1a87ac2772da,with_llm,10
673df43bab9b5d6c0cba0f9a,with_llm_extended,3
6740b01583cadef1afebeb9d,with_llm_extended,1
67425ff05a1e573622ade37a,with_llm_extended,4
67448035804444614abdcc6c,with_llm_extended,1
67449b2d46dfbc02a0f083b3,with_llm,2
674cf1b47d6743e2ea091d98,with_llm_extended,1
6750963f80dc9a9b834ddbbe,with_llm_extended,2
6760b0825ab03ca48d4fb0de,with_llm,1
6765c82c27f3e9e011d0d4d9,with_llm_extended,2
676a86716dbe63bed7ae70a0,with_llm_extended,3
676aa62900acb7d40e4f03b7,with_llm,1
676d346f257c35fb4c43e63b,with_llm_extended,1
67701cb8e95b8934348de694,with_llm_extended,1
6775d2dc10021f9d74ab65aa,with_llm,2
677cb7bf838dfe3cab0a0bac,with_llm_extended,6
67803a05b60a2727e9fa85b4,with_llm,7
67895c8702d2c30bde3af96c,with_llm_extended,5
67a54503a9d38ce3140394eb,with_llm,5
67bc827bda4f8e3244e03c7a,with_llm_extended,4
67d443ba0bb671a8f2a938a7,with_llm,2
67e43d3171f3338caa047245,with_llm_extended,2
67e80fd6ef19882569cf49d3,with_llm,13
68729361bee62f6a3fb232ec,with_llm,1
6888f9158ab561d6bbcf7466,with_llm_extended,1
6941548fbd8b79fcf75cacc7,with_llm,4
6942d12e93e20e19d2db3d33,with_llm_extended,1
69438d3b4d5b93c9428698fc,with_llm_extended,1
694431339a077d45591b4e21,with_llm_extended,13
6945d3294c8cf5eefa76293a,with_llm_extended,2
